,id,type,subtype,price,Transaction Type,zip,KitchenType,constructionYear,Building condition,energy_heatingType,Energy Consumption Level,bedroom_count,Land surface,Attic Exists,Basement Exists,Garden surface,Outdoor terrace exists,Specificities SME office exists,Wellness Equipment Swimming Pool,Parking parking Space Count indoor,Parking SpaceCount outdoor,Condition is Newly Built,date
6284,10144158,apartment,flatstudio,185000,forsale,1150,usasemiequipped,,torenovate,gas,331,0,,,,,,,,,1,,10/18/22
6285,10144463,apartment,apartment,253295,forsale,1030,notinstalled,2022,,gas,,1,,,true,,,,,,,,10/18/22
6286,10144459,apartment,apartment,253330,forsale,1030,notinstalled,2022,,gas,,1,,,true,,,,,,,,10/18/22
6287,10130816,apartment,flatstudio,75000,forsale,4020,notinstalled,,tobedoneup,gas,372,0,,,,,,,,,,,10/18/22
6288,10130925,apartment,apartment,395000,forsale,1150,installed,1965,tobedoneup,gas,305,2,,,,,true,true,,,,,10/18/22
6289,10130083,apartment,apartment,585000,forsale,8790,hyperequipped,2013,asnew,gas,105,2,,,,,true,,,,1,,10/18/22
6290,9914980,apartmentgroup,apartmentgroup,199000-348000,forsale,1190,,,,,,,,,,,,,,,,1,10/18/22
6291,10157688,apartmentgroup,apartmentgroup,239000-342000,forsale,1490,,,,,74,,,,,,,,,,8,1,10/18/22
6292,10157730,apartmentgroup,apartmentgroup,289000-349000,forsale,1300,,,,,,,,,,,,,,,14,1,10/18/22
6293,10146765,apartment,apartment,139000,forsale,8430,installed,1954,good,gas,600,3,,,,,,,,,,,10/18/22
6294,10133659,apartment,apartment,189000,forsale,2500,hyperequipped,2007,good,gas,,2,,,,,true,,,,,,10/18/22
6295,10133646,apartment,apartment,349000,forsale,2018,hyperequipped,1958,asnew,fueloil,,2,,,true,,true,,,2,2,,10/18/22
6296,10106260,apartment,apartment,397000,forsale,2000,hyperequipped,2016,asnew,gas,,2,,,true,300,true,,,1,,,10/18/22
6297,10153525,apartment,apartment,365000,forsale,6900,,,asnew,gas,,3,,,true,,true,,,,1,1,10/18/22
6298,10152212,apartment,apartment,371850,forsale,1420,,2022,good,,,3,,,,,true,,,,,1,10/18/22
6299,10152422,apartment,apartment,422100,forsale,1420,,2022,good,,,2,,,,,true,,,,,1,10/18/22
6300,10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
6301,9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
6302,10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
6303,10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
6304,10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
6305,10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
6306,9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
6307,10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
6308,10150882,apartment,apartment,249000,forsale,2800,usasemiequipped,,tobedoneup,gas,108,2,,,,,true,,,,,,10/18/22
6309,10151054,apartment,apartment,260000,forsale,8830,,2001,good,,207,2,,,true,39,true,,,1,,,10/18/22
6310,10149533,apartment,groundfloor,710000,forsale,1050,usahyperequipped,2011,,gas,108,2,,,true,,true,,,2,,,10/18/22
6311,10136127,apartment,apartment,255000,forsale,2610,,1979,,gas,236,2,,,,,true,,,1,1,,10/18/22
6312,10136312,apartment,apartment,299000,forsale,9500,hyperequipped,2022,justrenovated,gas,101.76,2,,,,,true,,,,,,10/18/22
6313,10136957,apartment,apartment,489000,forsale,9000,hyperequipped,2019,,,57,2,,,,,,,,,1,,10/18/22
6314,10136887,apartment,penthouse,650000,forsale,9120,installed,2022,,,28,2,,,,,true,,,2,,,10/18/22
6315,10135843,apartment,apartment,1150000,forsale,8300,installed,1968,asnew,gas,133,3,,,,,,,,,,,10/18/22
6316,10143232,apartment,apartment,292000,forsale,1300,notinstalled,,asnew,gas,,2,,,true,,true,,,,,1,10/18/22
6317,10144209,apartment,duplex,620000,forsale,2600,installed,,asnew,gas,,2,,,,1840,true,,,,,1,10/18/22
6318,10140503,apartment,duplex,235000,forsale,3740,installed,,asnew,gas,146,2,,,,,,,,,,,10/18/22
6319,10142194,apartment,apartment,250000,forsale,1030,installed,,torenovate,gas,267,1,,,true,120,,,,,,,10/18/22
6320,10060081,apartment,groundfloor,299000,forsale,1430,installed,2010,asnew,electric,175,2,,,,450,true,,,,2,,10/18/22
6321,10140590,apartment,apartment,375000,forsale,2018,hyperequipped,1970,,,134,2,,,true,,true,true,,,,,10/18/22
6322,10102619,apartment,apartment,40000,forsale,9160,installed,2019,,,69,2,,,,,true,,true,1,,,10/18/22
6323,10102618,apartment,serviceflat,40000,forsale,9160,installed,2019,,,69,2,,,,,true,,true,1,,,10/18/22
6324,10112858,apartment,apartment,45000,forsale,4000,,1975,tobedoneup,,532,1,,,,,,,,,,,10/18/22
6325,10118287,apartment,flatstudio,119000,forsale,1080,notinstalled,1973,torenovate,,808,0,,,true,26,,,,,,,10/18/22
6326,10028019,apartment,apartment,119000,forsale,8430,installed,1975,torenovate,electric,377,1,,,,,,,,,,,10/18/22
6327,9783455,apartment,serviceflat,125000,forsale,1850,,2009,asnew,gas,141,1,,,,,true,,,,,,10/18/22
6328,9971268,apartment,apartment,125000,forsale,5190,semiequipped,2010,good,fueloil,167,1,,,,,,,,,,,10/18/22
6329,10103748,apartment,apartment,125000,forsale,8800,,1972,tobedoneup,,194,1,,,,,true,,,,,,10/18/22
6330,9824409,apartment,apartment,129500,forsale,4000,installed,,good,gas,220,2,,,,,,true,,,,,10/18/22
6331,9822826,apartment,apartment,129500,forsale,4000,installed,,good,gas,220,2,,,,,,true,,,,,10/18/22
6332,10119402,apartment,apartment,135000,forsale,6940,hyperequipped,2007,asnew,electric,228,1,,,,,,,,,,,10/18/22
6333,10084848,apartment,apartment,143500,forsale,1080,,2000,good,electric,267,2,,,true,,true,,,,,,10/18/22
6334,10125949,apartment,apartment,149000,forsale,4020,installed,,tobedoneup,gas,130,2,,,true,,true,,,1,,,10/18/22
6335,9890467,apartment,groundfloor,149500,forsale,8400,usainstalled,1989,good,electric,305,2,,,,,,,,,,,10/18/22
6336,9961647,apartment,apartment,150000,forsale,8870,installed,1968,asnew,,472,2,,,,,true,,,,,,10/18/22
6337,10119850,apartment,flatstudio,157500,forsale,2060,semiequipped,2014,good,gas,146,0,,,true,,true,,,,,,10/18/22
6338,10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
6339,9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
6340,10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
6341,10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
6342,10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
6343,10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
6344,9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
6345,10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
6346,10114087,apartment,apartment,160000,forsale,2140,semiequipped,1973,torenovate,gas,179,2,,,true,,true,,,,,,10/18/22
6347,9986753,apartment,apartment,164500,forsale,4000,semiequipped,,good,gas,181,2,,,,,,,,,,,10/18/22
6348,10055842,apartment,apartment,165000,forsale,4300,installed,,good,fueloil,409,1,,,true,,,,,1,1,,10/18/22
